GH29.hmm	SRR7066493_k141_10000_1
PL1_2.hmm	SRR7066493_k141_100124_1
CBM51.hmm	SRR7066493_k141_1001862_1
GH16_12.hmm	SRR7066493_k141_1002144_1
GT83.hmm	SRR7066493_k141_1002249_1
CBM9.hmm	SRR7066493_k141_1002310_1
GH10.hmm	SRR7066493_k141_1004900_2
GH109.hmm	SRR7066493_k141_1005222_2
GH5_13.hmm	SRR7066493_k141_100535_1
GT51.hmm	SRR7066493_k141_1006875_1
GH29.hmm	SRR7066493_k141_100747_1
GH43_5.hmm	SRR7066493_k141_1007914_2
GT83.hmm	SRR7066493_k141_10088_1
GH29.hmm	SRR7066493_k141_1010576_1
GH105.hmm	SRR7066493_k141_1011904_2
GH23.hmm	SRR7066493_k141_1012820_1
GH127.hmm	SRR7066493_k141_1013949_2
GH29.hmm	SRR7066493_k141_1014168_2
PL11_1.hmm	SRR7066493_k141_1014231_2
GH23.hmm	SRR7066493_k141_1016194_1
CBM51.hmm	SRR7066493_k141_1016761_3
GH51.hmm	SRR7066493_k141_1017275_2
GH127.hmm	SRR7066493_k141_101748_1
GH109.hmm	SRR7066493_k141_1017660_1
GH10.hmm	SRR7066493_k141_1018201_2
GH127.hmm	SRR7066493_k141_101826_2
GH73.hmm	SRR7066493_k141_1018608_3
CE1.hmm	SRR7066493_k141_1018681_2
GH123.hmm	SRR7066493_k141_101943_1
GH109.hmm	SRR7066493_k141_1019867_3
GH5_36.hmm	SRR7066493_k141_1020127_5
GH29.hmm	SRR7066493_k141_1021681_2
CBM38.hmm	SRR7066493_k141_1024395_1
GH3.hmm	SRR7066493_k141_1026746_2
CBM67.hmm	SRR7066493_k141_1029105_2
GH3.hmm	SRR7066493_k141_1029309_2
GT83.hmm	SRR7066493_k141_1030520_1
CBM51.hmm	SRR7066493_k141_1030778_1
CE3.hmm	SRR7066493_k141_1032498_1
GH23.hmm	SRR7066493_k141_1034132_1
GH154.hmm	SRR7066493_k141_1034322_1
GH109.hmm	SRR7066493_k141_1034728_2
GH95.hmm	SRR7066493_k141_103585_1
GH73.hmm	SRR7066493_k141_1035991_1
CE1.hmm	SRR7066493_k141_1036388_1
